,Release Date,Year,Movie Title, Budget , Domestic Gross , Worldwide Gross ,Wiki,Unnamed: 0,variable,Actor
165,5/4/2007,2007,Spider-Man 3,"  $258,000,000 ","  $336,530,303 ","  $894,860,230 ",<WikipediaPage 'Spider-Man'>,254,42,keyerror
166,6/30/2004,2004,Spider-Man 2,"  $200,000,000 ","  $373,524,485 ","  $794,697,557 ",<WikipediaPage 'Spider-Man'>,254,42,keyerror
167,4/22/2016,2016,Captain America: Civil War,"  $250,000,000 ","  $408,084,349 ","  $1,151,918,521 ",<WikipediaPage 'Captain America: Civil War'>,90,15,"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie', 'Don Cheadle', 'Jeremy Renner', 'Chadwick Boseman', 'Paul Bettany', 'Elizabeth Olsen', 'Paul Rudd', 'Emily VanCamp', 'Tom Holland', 'Frank Grillo', 'William Hurt', 'Daniel Brühl']"
168,7/15/2009,2009,Harry Potter and the Half-Blood Prince,"  $250,000,000 ","  $302,089,278 ","  $930,673,167 ",<WikipediaPage 'Harry Potter and the Half-Blood Prince (film)'>,96,16,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Jim Broadbent', 'Helena Bonham Carter', 'Robbie Coltrane', 'Warwick Davis', 'Michael Gambon', 'Alan Rickman', 'Maggie Smith', 'Timothy Spall', 'David Thewlis', 'Julie Walters']"
169,12/12/2013,2013,The Hobbit: The Desolation of Smaug,"  $250,000,000 ","  $258,241,522 ","  $959,358,436 ",<WikipediaPage 'The Hobbit: The Desolation of Smaug'>,102,17,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'Benedict Cumberbatch', 'Evangeline Lilly', 'Lee Pace', 'Luke Evans', 'Ken Stott', 'James Nesbitt', 'Orlando Bloom']"
170,12/10/2014,2014,The Hobbit: The Battle of the Five Armies,"  $250,000,000 ","  $255,119,788 ","  $941,560,732 ",<WikipediaPage 'The Hobbit: The Battle of the Five Armies'>,108,18,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'Evangeline Lilly', 'Lee Pace', 'Luke Evans', 'Benedict Cumberbatch', 'Ken Stott', 'James Nesbitt', 'Cate Blanchett', 'Ian Holm', 'Christopher Lee', 'Hugo Weaving', 'Orlando Bloom']"
171,9/30/2021,2021,No Time to Die,"  $250,000,000 ",  $0 ,  $457 ,<WikipediaPage 'No Time to Die'>,120,20,"['Daniel Craig', 'Rami Malek', 'Léa Seydoux', 'Lashana Lynch', 'Ben Whishaw', 'Naomie Harris', 'Jeffrey Wright', 'Christoph Waltz', 'Ralph Fiennes']"
172,12/17/2009,2009,Avatar,"  $237,000,000 ","  $760,507,625 ","  $2,845,899,541 ",<WikipediaPage 'Avatar'>,126,21,error
173,6/28/2006,2006,Superman Returns,"  $232,000,000 ","  $200,120,000 ","  $391,081,192 ",<WikipediaPage 'Superman Returns'>,132,22,"['Brandon Routh', 'Kate Bosworth', 'James Marsden', 'Frank Langella', 'Eva Marie Saint', 'Parker Posey', 'Kal Penn', 'Sam Huntington', 'Kevin Spacey']"
174,7/19/2012,2012,The Dark Knight Rises,"  $230,000,000 ","  $448,139,099 ","  $1,082,228,107 ",<WikipediaPage 'The Dark Knight Rises'>,138,23,"['Christian Bale', 'Michael Caine', 'Gary Oldman', 'Anne Hathaway', 'Tom Hardy', 'Marion Cotillard', 'Joseph Gordon-Levitt', 'Morgan Freeman']"
175,5/23/2017,2017,Pirates of the Caribbean: Dead Men Tell No Tales,"  $230,000,000 ","  $172,558,876 ","  $794,861,794 ",<WikipediaPage 'Pirates of the Caribbean: Dead Men Tell No Tales'>,144,24,"['Johnny Depp', 'Javier Bardem', 'Geoffrey Rush', 'Brenton Thwaites', 'Kaya Scodelario', 'Kevin McNally']"
176,11/14/2008,2008,Quantum of Solace,"  $230,000,000 ","  $169,368,427 ","  $591,692,078 ",<WikipediaPage 'Quantum of Solace'>,150,25,"['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric', 'Giancarlo Giannini', 'Jeffrey Wright', 'Judi Dench']"
