,Actor,value,variable,Title
109,"['Owen Wilson', 'Cristela Alonzo', 'Chris Cooper', 'Armie Hammer', 'Larry the Cable Guy', 'Bonnie Hunt', 'Nathan Fillion', 'Lea DeLaria', 'Kerry Washington']",<WikipediaPage 'Cars 3'>,18,Captain Marvel
110,"['Ben Stiller', 'Chris Rock', 'David Schwimmer', 'Jada Pinkett Smith', 'Sacha Baron Cohen', 'Cedric the Entertainer', 'Andy Richter', 'Tom McGrath', 'Jessica Chastain', 'Bryan Cranston', 'Martin Short', 'Frances McDormand']",<WikipediaPage 'Madagascar 3: Europe's Most Wanted'>,18,The Jungle Book
111,error,error,18,Inside Out
112,keyerror,<WikipediaPage 'Starship Troopers'>,18,Spider-Man: Homecoming
113,"['Russell Crowe', 'Renée Zellweger', 'Paul Giamatti', 'Craig Bierko', 'Bruce McGill', 'Paddy Considine']",<WikipediaPage 'Cinderella Man'>,18,Suicide Squad
114,"['Dwayne Johnson', 'Jason Statham', 'Michelle Rodriguez', 'Tyrese Gibson', 'Chris ""Ludacris"" Bridges', 'Scott Eastwood', 'Nathalie Emmanuel', 'Elsa Pataky', 'Kurt Russell', 'Charlize Theron']",<WikipediaPage 'The Fate of the Furious'>,19,Up
115,"['Channing Tatum', 'Marlon Wayans', 'Adewale Akinnuoye-Agbaje', 'Dennis Quaid', 'Rachel Nichols', 'Saïd Taghmaoui', 'Ray Park', 'Joseph Gordon-Levitt', 'Christopher Eccleston', 'Sienna Miller', 'Byung-hun Lee', 'Jonathan Pryce']",<WikipediaPage 'G.I. Joe: The Rise of Cobra'>,19,Coco
116,"['Jeremy Renner', 'Simon Pegg', 'Paula Patton']",<WikipediaPage 'Mission: Impossible – Ghost Protocol'>,19,Ralph Breaks The Internet
117,keyerror,<WikipediaPage 'Power Rangers'>,19,Monsters vs. Aliens
118,"['Will Ferrell', 'Danny McBride', 'Anna Friel', 'Jorma Taccone']",<WikipediaPage 'Land of the Lost (film)'>,19,Cars 3
119,"['Boyd Holbrook', 'Trevante Rhodes', 'Jacob Tremblay', 'Keegan-Michael Key', 'Olivia Munn', 'Thomas Jane', 'Alfie Allen', 'Sterling K. Brown']",<WikipediaPage 'The Predator (film)'>,19,G.I. Joe: The Rise of Cobra
120,"['Daniel Craig', 'Rami Malek', 'Léa Seydoux', 'Lashana Lynch', 'Ben Whishaw', 'Naomie Harris', 'Jeffrey Wright', 'Christoph Waltz', 'Ralph Fiennes']",<WikipediaPage 'No Time to Die'>,20,Wild Wild West
