,variable,value,Actor
111,18,error,error
112,18,<WikipediaPage 'Starship Troopers'>,keyerror
113,18,<WikipediaPage 'Cinderella Man'>,"['Russell Crowe', 'Renée Zellweger', 'Paul Giamatti', 'Craig Bierko', 'Bruce McGill', 'Paddy Considine']"
114,19,<WikipediaPage 'The Fate of the Furious'>,"['Dwayne Johnson', 'Jason Statham', 'Michelle Rodriguez', 'Tyrese Gibson', 'Chris ""Ludacris"" Bridges', 'Scott Eastwood', 'Nathalie Emmanuel', 'Elsa Pataky', 'Kurt Russell', 'Charlize Theron']"
115,19,<WikipediaPage 'G.I. Joe: The Rise of Cobra'>,"['Channing Tatum', 'Marlon Wayans', 'Adewale Akinnuoye-Agbaje', 'Dennis Quaid', 'Rachel Nichols', 'Saïd Taghmaoui', 'Ray Park', 'Joseph Gordon-Levitt', 'Christopher Eccleston', 'Sienna Miller', 'Byung-hun Lee', 'Jonathan Pryce']"
116,19,<WikipediaPage 'Mission: Impossible – Ghost Protocol'>,"['Jeremy Renner', 'Simon Pegg', 'Paula Patton']"
117,19,<WikipediaPage 'Power Rangers'>,keyerror
118,19,<WikipediaPage 'Land of the Lost (film)'>,"['Will Ferrell', 'Danny McBride', 'Anna Friel', 'Jorma Taccone']"
119,19,<WikipediaPage 'The Predator (film)'>,"['Boyd Holbrook', 'Trevante Rhodes', 'Jacob Tremblay', 'Keegan-Michael Key', 'Olivia Munn', 'Thomas Jane', 'Alfie Allen', 'Sterling K. Brown']"
120,20,<WikipediaPage 'No Time to Die'>,"['Daniel Craig', 'Rami Malek', 'Léa Seydoux', 'Lashana Lynch', 'Ben Whishaw', 'Naomie Harris', 'Jeffrey Wright', 'Christoph Waltz', 'Ralph Fiennes']"
121,20,<WikipediaPage 'Wild Wild West'>,"['Will Smith', 'Kevin Kline', 'Kenneth Branagh', 'Salma Hayek']"
122,20,<WikipediaPage 'How to Train Your Dragon 2'>,"['Jay Baruchel', 'Cate Blanchett', 'Gerard Butler', 'Craig Ferguson', 'America Ferrera', 'Jonah Hill', 'Christopher Mintz-Plasse', 'T.J. Miller', 'Kristen Wiig', 'Djimon Hounsou', 'Kit Harington']"
123,20,<WikipediaPage 'Stuart Little 2'>,"['Michael J. Fox', 'Melanie Griffith', 'Nathan Lane', 'Geena Davis', 'Hugh Laurie', 'Jonathan Lipnicki', 'James Woods', 'Steve Zahn']"
124,20,<WikipediaPage 'Peter Pan'>,keyerror
125,20,<WikipediaPage 'Fantastic Four'>,keyerror
126,21,<WikipediaPage 'Avatar'>,error
127,21,<WikipediaPage 'The Mummy: Tomb of the Dragon Emperor'>,"['Brendan Fraser', 'Jet Li', 'Maria Bello', 'John Hannah', 'Russell Wong', 'Liam Cunningham', 'Luke Ford', 'Isabella Leong', 'Michelle Yeoh']"
128,21,<WikipediaPage 'Tarzan'>,keyerror
129,21,<WikipediaPage 'RoboCop'>,"['Peter Weller', 'Nancy Allen', ""Daniel O'Herlihy"", 'Ronny Cox', 'Kurtwood Smith', 'Miguel Ferrer']"
130,21,<WikipediaPage 'Wonder Park'>,"['Jennifer Garner', 'Matthew Broderick', 'John Oliver', 'Mila Kunis', 'Kenan Thompson', 'Ken Jeong', 'Norbert Leo Butz', 'Ken Hudson Campbell']"
131,21,<WikipediaPage 'Hannibal'>,keyerror
132,22,<WikipediaPage 'Superman Returns'>,"['Brandon Routh', 'Kate Bosworth', 'James Marsden', 'Frank Langella', 'Eva Marie Saint', 'Parker Posey', 'Kal Penn', 'Sam Huntington', 'Kevin Spacey']"
133,22,<WikipediaPage 'Evan Almighty'>,"['Steve Carell', 'Morgan Freeman', 'Lauren Graham', 'John Goodman', 'John Michael Higgins', 'Jimmy Bennett', 'Wanda Sykes']"
134,22,<WikipediaPage 'Mr. Peabody & Sherman'>,"['Ty Burrell', 'Max Charles', 'Ariel Winter', 'Stephen Colbert', 'Leslie Mann', 'Allison Janney']"
135,22,<WikipediaPage 'The Chronicles of Riddick'>,"['Vin Diesel', 'Colm Feore', 'Keith David', 'Karl Urban', 'Thandiwe Newton', 'Alexa Davalos', 'Judi Dench', 'Linus Roache', 'Nick Chinlund', 'Yorick van Wageningen']"
136,22,<WikipediaPage 'Catwoman'>,keyerror
137,22,<WikipediaPage 'Seabiscuit'>,keyerror
138,23,<WikipediaPage 'The Dark Knight Rises'>,"['Christian Bale', 'Michael Caine', 'Gary Oldman', 'Anne Hathaway', 'Tom Hardy', 'Marion Cotillard', 'Joseph Gordon-Levitt', 'Morgan Freeman']"
139,23,<WikipediaPage 'Waterworld'>,"['Dennis Hopper', 'Jeanne Tripplehorn', 'Tina Majorino', 'Michael Jeter']"
140,23,<WikipediaPage 'Rise of the Guardians'>,"['Chris Pine', 'Alec Baldwin', 'Hugh Jackman', 'Isla Fisher', 'Jude Law']"
141,23,<WikipediaPage 'Fantastic Four'>,keyerror
142,23,<WikipediaPage 'The Expendables 3'>,"['Jason Statham', 'Antonio Banderas', 'Jet Li', 'Wesley Snipes', 'Dolph Lundgren', 'Kelsey Grammer', 'Randy Couture', 'Terry Crews', 'Kellan Lutz', 'Ronda Rousey', 'Glen Powell', 'Victor Ortiz', 'Robert Davi', 'Mel Gibson', 'Harrison Ford', 'Arnold Schwarzenegger']"
143,23,<WikipediaPage 'Cast Away'>,"['Helen Hunt', 'Nick Searcy']"
144,24,<WikipediaPage 'Pirates of the Caribbean: Dead Men Tell No Tales'>,"['Johnny Depp', 'Javier Bardem', 'Geoffrey Rush', 'Brenton Thwaites', 'Kaya Scodelario', 'Kevin McNally']"
