Release Date,Year,Movie Title, Budget , Domestic Gross , Worldwide Gross 
6/18/1993,1993,Last Action Hero,"  $85,000,000 ","  $50,016,394 ","  $137,298,489 "
9/26/2003,2003,The Rundown,"  $85,000,000 ","  $47,641,743 ","  $80,831,893 "
11/11/2011,2011,Arthur Christmas,"  $85,000,000 ","  $46,462,469 ","  $148,947,564 "
1/19/2017,2017,xXx: Return of Xander Cage,"  $85,000,000 ","  $44,898,413 ","  $345,033,359 "
11/13/1998,1998,Meet Joe Black,"  $85,000,000 ","  $44,650,003 ","  $44,650,003 "
7/30/2010,2010,Cats & Dogs: The Revenge of Kitty Galore,"  $85,000,000 ","  $43,585,753 ","  $113,026,383 "
2/8/2002,2002,Collateral Damage,"  $85,000,000 ","  $40,048,332 ","  $78,353,508 "
3/15/2002,2002,Showtime,"  $85,000,000 ","  $37,948,765 ","  $78,948,765 "
6/30/1995,1995,Judge Dredd,"  $85,000,000 ","  $34,687,912 ","  $113,487,912 "
3/2/2007,2007,Zodiac,"  $85,000,000 ","  $33,080,084 ","  $83,080,084 "
8/13/2010,2010,Scott Pilgrim vs. The World,"  $85,000,000 ","  $32,841,100 ","  $49,286,548 "
3/28/2003,2003,The Core,"  $85,000,000 ","  $31,111,260 ","  $74,120,792 "
5/9/1997,1997,Father s Day,"  $85,000,000 ","  $28,681,080 ","  $35,681,080 "
12/11/2017,2017,The Greatest Showman,"  $84,000,000 ","  $174,340,174 ","  $435,627,917 "
6/14/2002,2002,Scooby-Doo,"  $84,000,000 ","  $153,294,164 ","  $276,294,164 "
7/28/2000,2000,Nutty Professor II: The Klumps,"  $84,000,000 ","  $123,307,945 ","  $166,307,945 "
7/19/2013,2013,RED 2,"  $84,000,000 ","  $53,262,560 ","  $141,507,355 "
6/23/2006,2006,Click,"  $82,500,000 ","  $137,355,633 ","  $237,685,089 "
12/15/2006,2006,Charlotte\ s Web,"  $82,500,000 ","  $82,985,708 ","  $143,985,708 "
2/14/2008,2008,Jumper,"  $82,500,000 ","  $80,172,128 ","  $222,640,812 "
7/11/2008,2008,Hellboy II: The Golden Army,"  $82,500,000 ","  $75,986,503 ","  $160,388,063 "
5/27/2005,2005,The Longest Yard,"  $82,000,000 ","  $158,119,460 ","  $191,558,505 "
8/13/2010,2010,The Expendables,"  $82,000,000 ","  $103,068,524 ","  $268,268,174 "
2/5/2020,2020,Birds of Prey (And the Fantabulous Emancipation…,"  $82,000,000 ","  $84,158,461 ","  $201,852,140 "
7/1/2021,2021,The Boss Baby: Family Business,"  $82,000,000 ","  $44,641,675 ","  $47,612,675 "
11/17/2000,2000,The 6th Day,"  $82,000,000 ","  $34,543,701 ","  $96,024,898 "
5/23/2003,2003,Bruce Almighty,"  $81,000,000 ","  $242,704,995 ","  $484,468,608 "
3/8/2012,2012,The Hunger Games,"  $80,000,000 ","  $408,010,692 ","  $677,923,379 "
5/26/2011,2011,The Hangover Part II,"  $80,000,000 ","  $254,464,305 ","  $586,764,305 "
5/21/1996,1996,Mission: Impossible,"  $80,000,000 ","  $180,981,886 ","  $457,697,994 "
2/2/2017,2017,The Lego Batman Movie,"  $80,000,000 ","  $175,750,384 ","  $310,570,560 "
9/23/2015,2015,Hotel Transylvania 2,"  $80,000,000 ","  $169,700,110 ","  $469,500,298 "
6/18/1992,1992,Batman Returns,"  $80,000,000 ","  $162,833,635 ","  $266,824,291 "
5/24/2019,2019,The Secret Life of Pets 2,"  $80,000,000 ","  $158,874,395 ","  $446,275,086 "
5/7/1999,1999,The Mummy,"  $80,000,000 ","  $155,385,488 ","  $416,385,488 "
5/19/2006,2006,Over the Hedge,"  $80,000,000 ","  $155,019,340 ","  $343,397,247 "
6/21/2002,2002,Lilo & Stitch,"  $80,000,000 ","  $145,771,527 ","  $245,800,000 "
5/8/1998,1998,Deep Impact,"  $80,000,000 ","  $140,464,664 ","  $349,464,664 "
7/12/2013,2013,Grown Ups 2,"  $80,000,000 ","  $133,668,525 ","  $247,023,808 "
12/14/2011,2011,Alvin and the Chipmunks: Chipwrecked,"  $80,000,000 ","  $133,107,389 ","  $349,088,523 "
6/20/2008,2008,Get Smart,"  $80,000,000 ","  $130,319,208 ","  $226,739,416 "
3/11/2005,2005,Robots,"  $80,000,000 ","  $128,200,012 ","  $260,636,271 "
2/19/2010,2010,Shutter Island,"  $80,000,000 ","  $128,012,934 ","  $299,461,782 "
12/12/2003,2003,Something s Gotta Give,"  $80,000,000 ","  $124,685,242 ","  $266,685,242 "
11/26/2008,2008,Four Christmases,"  $80,000,000 ","  $120,146,040 ","  $168,311,558 "
6/27/1997,1997,Face/Off,"  $80,000,000 ","  $112,276,146 ","  $241,200,000 "
12/25/2008,2008,Bedtime Stories,"  $80,000,000 ","  $110,101,975 ","  $221,468,935 "
7/12/2002,2002,Road to Perdition,"  $80,000,000 ","  $104,054,514 ","  $183,354,514 "
2/11/2011,2011,Just Go With It,"  $80,000,000 ","  $103,028,109 ","  $214,974,953 "
2/14/2003,2003,Daredevil,"  $80,000,000 ","  $102,543,518 ","  $182,782,518 "
9/26/2008,2008,Eagle Eye,"  $80,000,000 ","  $101,440,743 ","  $180,585,259 "
6/6/1997,1997,Con Air,"  $80,000,000 ","  $101,117,573 ","  $224,117,573 "
12/17/2010,2010,Yogi Bear,"  $80,000,000 ","  $100,246,011 ","  $204,774,690 "
