1917	keyerror
	['Nicolas Cage', 'Angelina Jolie', 'Giovanni Ribisi', 'Delroy Lindo', 'Will Patton', 'Christopher Eccleston', 'Chi McBride', 'Robert Duvall']
Gravity	error
	keyerror
	0
Green Lantern	keyerror
Green Zone	error
Grown Ups 2	['Adam Sandler', 'Kevin James', 'Chris Rock', 'David Spade', 'Salma Hayek', 'Maya Rudolph', 'Maria Bello', 'Nick Swardson']
	['Chris Pratt', 'Zoe Saldana', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Michael Rooker', 'Karen Gillan', 'Pom Klementieff', 'Elizabeth Debicki', 'Chris Sullivan', 'Sean Gunn', 'Sylvester Stallone', 'Kurt Russell']
	0
	keyerror
Hannibal	keyerror
	['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Helena Bonham Carter', 'Robbie Coltrane', 'Warwick Davis', 'Ralph Fiennes', 'Michael Gambon', 'Brendan Gleeson', 'Richard Griffiths', 'John Hurt', 'Jason Isaacs', 'Alan Rickman', 'Fiona Shaw', 'Timothy Spall', 'Imelda Staunton', 'David Thewlis', 'Julie Walters']
	['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Helena Bonham Carter', 'Robbie Coltrane', 'Warwick Davis', 'Ralph Fiennes', 'Michael Gambon', 'John Hurt', 'Jason Isaacs', 'Gary Oldman', 'Alan Rickman', 'Maggie Smith', 'David Thewlis', 'Julie Walters']
Harry Potter and the Goblet of Fire	keyerror
	['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Jim Broadbent', 'Helena Bonham Carter', 'Robbie Coltrane', 'Warwick Davis', 'Michael Gambon', 'Alan Rickman', 'Maggie Smith', 'Timothy Spall', 'David Thewlis', 'Julie Walters']
	0
Hellboy II: The Golden Army	['Ron Perlman', 'Selma Blair', 'Doug Jones', 'Jeffrey Tambor', 'John Hurt']
	error
Hercules	keyerror
Hollow Man	['Elisabeth Shue', 'Kevin Bacon', 'Josh Brolin', 'Kim Dickens', 'Greg Grunberg', 'Joey Slotnick', 'William Devane']
Home	error
Home on the Range	0
	keyerror
	['Adam Sandler', 'Andy Samberg', 'Selena Gomez', 'Kevin James', 'David Spade', 'Steve Buscemi', 'Keegan-Michael Key', 'Molly Shannon', 'Fran Drescher', 'Mel Brooks']
Hotel Transylvania	keyerror
	['Reese Witherspoon', 'Owen Wilson', 'Paul Rudd', 'Jack Nicholson', 'Kathryn Hahn']
How to Train Your Dragon 2	['Jay Baruchel', 'Cate Blanchett', 'Gerard Butler', 'Craig Ferguson', 'America Ferrera', 'Jonah Hill', 'Christopher Mintz-Plasse', 'T.J. Miller', 'Kristen Wiig', 'Djimon Hounsou', 'Kit Harington']
How to Train Your Dragon: The Hidden World	['Jay Baruchel', 'America Ferrera', 'F. Murray Abraham', 'Cate Blanchett', 'Gerard Butler', 'Craig Ferguson', 'Jonah Hill', 'Christopher Mintz Plasse', 'Kristen Wiig', 'Kit Harrington']
	keyerror
	keyerror
	['Will Smith', 'Alice Braga', 'Dash Mihok']
	['Kevin James', 'Jessica Biel', 'Ving Rhames', 'Steve Buscemi', 'Dan Aykroyd']
Ice Age: Collision Course	['Ray Romano', 'John Leguizamo', 'Denis Leary', 'Josh Peck', 'Simon Pegg', 'Seann William Scott', 'Jennifer Lopez', 'Queen Latifah']
Ice Age: Continental Drift	['Ray Romano', 'John Leguizamo', 'Denis Leary', 'Nicki Minaj', 'Drake', 'Jennifer Lopez', 'Queen Latifah']
Ice Age: Dawn of the Dinosaurs	['Ray Romano', 'John Leguizamo', 'Denis Leary', 'Queen Latifah', 'Simon Pegg', 'Seann William Scott', 'Josh Peck']
	['Chris Hemsworth', 'Benjamin Walker', 'Cillian Murphy', 'Tom Holland', 'Ben Whishaw', 'Brendan Gleeson']
Inception	0
Incredibles 2	['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell', 'Samuel L. Jackson', 'Bob Odenkirk', 'Catherine Keener', 'Jonathan Banks']
Independence Day: Resurgence	['Jeff Goldblum', 'Liam Hemsworth', 'Bill Pullman', 'Maika Monroe', 'Travis Tope', 'William Fichtner', 'Charlotte Gainsbourg', 'Judd Hirsch']
Indiana Jones and the Kingdom of the Crystal Skull	['Harrison Ford', 'Cate Blanchett', 'Karen Allen', 'Ray Winstone', 'John Hurt', 'Jim Broadbent', 'Shia LaBeouf']
	['Amy Poehler', 'Phyllis Smith', 'Richard Kind', 'Lewis Black', 'Bill Hader', 'Mindy Kaling', 'Diane Lane', 'Kyle MacLachlan']
	error
Iron Man 2	['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Scarlett Johansson', 'Sam Rockwell', 'Mickey Rourke', 'Samuel L. Jackson']
Iron Man 3	0
Jack the Giant Slayer	['Nicholas Hoult', 'Eleanor Tomlinson', 'Stanley Tucci', 'Ian McShane', 'Bill Nighy', 'Ewan McGregor']
	['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton', 'Mark Strong', 'Ciarán Hinds', 'Dominic West', 'James Purefoy', 'Willem Dafoe']
Judge Dredd	0
Jumanji: Welcome to the Jungle	['Dwayne Johnson', 'Jack Black', 'Kevin Hart', 'Karen Gillan', 'Nick Jonas', 'Bobby Cannavale']
Jupiter Ascending	['Mila Kunis', 'Channing Tatum', 'Sean Bean', 'Eddie Redmayne', 'Douglas Booth']
Jurassic Park III	0
